REPORT_DATE,EXCHANGE,中信期货,海通期货,国投安信,东证,中信期货-海通期货,中信期货-国投安信,中信期货-东证
2018-06-01,CFFEX,14871,15340,1783,3023,-469,13088,11848
2018-06-04,CFFEX,14940,15157,480,2760,-217,14460,12180
2018-06-05,CFFEX,13675,14704,1607,3033,-1029,12068,10642
2018-06-06,CFFEX,13077,14819,2494,2951,-1742,10583,10126
2018-06-07,CFFEX,14689,12707,305,2814,1982,14384,11875
2018-06-08,CFFEX,14959,16017,2890,3336,-1058,12069,11623
2018-06-11,CFFEX,13690,14528,757,3702,-838,12933,9988
2018-06-12,CFFEX,17954,16193,2325,4538,1761,15629,13416
2018-06-13,CFFEX,16470,16664,2545,4685,-194,13925,11785
2018-06-14,CFFEX,23687,19346,2340,7925,4341,21347,15762
2018-06-15,CFFEX,18657,17561,4485,4940,1096,14172,13717
2018-06-19,CFFEX,20616,21207,1085,5773,-591,19531,14843
2018-06-20,CFFEX,20931,19553,2527,4964,1378,18404,15967
2018-06-21,CFFEX,20558,19906,2874,4806,652,17684,15752
2018-06-22,CFFEX,21069,23474,3151,5974,-2405,17918,15095
2018-06-25,CFFEX,19990,22851,574,3349,-2861,19416,16641
2018-06-26,CFFEX,19598,20411,922,4668,-813,18676,14930
2018-06-27,CFFEX,21362,19741,2667,4384,1621,18695,16978
2018-06-28,CFFEX,19433,17932,717,4824,1501,18716,14609
2018-06-01,CZCE,242307,518690,118116,96799,-276383,124191,145508
2018-06-04,CZCE,250167,510030,142348,115717,-259863,107819,134450
2018-06-05,CZCE,281528,572262,143636,87096,-290734,137892,194432
2018-06-06,CZCE,217357,464789,132943,52865,-247432,84414,164492
2018-06-07,CZCE,226022,464564,103084,37464,-238542,122938,188558
2018-06-08,CZCE,284180,620656,102353,93445,-336476,181827,190735
2018-06-11,CZCE,233832,510044,124766,48686,-276212,109066,185146
2018-06-12,CZCE,228746,500560,113595,90605,-271814,115151,138141
2018-06-13,CZCE,256044,594988,160397,82794,-338944,95647,173250
2018-06-14,CZCE,219489,460801,117495,98311,-241312,101994,121178
2018-06-15,CZCE,206153,439287,109340,101387,-233134,96813,104766
2018-06-19,CZCE,298402,682001,150308,142521,-383599,148094,155881
2018-06-20,CZCE,241104,512190,109932,101069,-271086,131172,140035
2018-06-21,CZCE,205100,415232,70904,92532,-210132,134196,112568
2018-06-22,CZCE,226205,385596,71029,98447,-159391,155176,127758
2018-06-25,CZCE,212522,403743,82316,116042,-191221,130206,96480
2018-06-26,CZCE,250836,431633,108633,104149,-180797,142203,146687
2018-06-27,CZCE,181761,350872,72289,104587,-169111,109472,77174
2018-06-28,CZCE,213479,370288,88589,108528,-156809,124890,104951
2018-06-01,DCE,393624,609970,335624,459539,-216346,58000,-65915
2018-06-04,DCE,464914,575430,268826,431552,-110516,196088,33362
2018-06-05,DCE,453890,650269,327943,423884,-196379,125947,30006
2018-06-06,DCE,649126,993380,539152,653804,-344254,109974,-4678
2018-06-07,DCE,362207,520978,278200,393802,-158771,84007,-31595
2018-06-08,DCE,535197,688284,429265,502722,-153087,105932,32475
2018-06-11,DCE,356781,476074,317972,358469,-119293,38809,-1688
2018-06-12,DCE,326342,493284,321098,407413,-166942,5244,-81071
2018-06-13,DCE,448338,571026,382001,496967,-122688,66337,-48629
2018-06-14,DCE,364167,484546,343747,430776,-120379,20420,-66609
2018-06-15,DCE,380020,537616,320846,458802,-157596,59174,-78782
2018-06-19,DCE,639567,905793,383075,711709,-266226,256492,-72142
2018-06-20,DCE,444376,601232,250865,450612,-156856,193511,-6236
2018-06-21,DCE,328369,506328,197819,435266,-177959,130550,-106897
2018-06-22,DCE,353980,528932,199834,412517,-174952,154146,-58537
2018-06-25,DCE,303746,479906,187337,445738,-176160,116409,-141992
2018-06-26,DCE,401424,614885,239594,479956,-213461,161830,-78532
2018-06-27,DCE,391742,639203,239734,500273,-247461,152008,-108531
2018-06-28,DCE,352302,602146,230662,488073,-249844,121640,-135771
2018-06-01,SHFE,591818,728665,412755,459226,-136847,179063,132592
2018-06-04,SHFE,493365,603644,333244,411442,-110279,160121,81923
2018-06-05,SHFE,517053,608659,355488,408928,-91606,161565,108125
2018-06-06,SHFE,578013,708381,402389,457029,-130368,175624,120984
2018-06-07,SHFE,603219,725328,429663,461473,-122109,173556,141746
2018-06-08,SHFE,517162,709936,402385,480778,-192774,114777,36384
2018-06-11,SHFE,499881,585977,386013,411162,-86096,113868,88719
2018-06-12,SHFE,505117,573250,422395,401757,-68133,82722,103360
2018-06-13,SHFE,490690,620287,444609,498994,-129597,46081,-8304
2018-06-14,SHFE,487687,648535,390252,449287,-160848,97435,38400
2018-06-15,SHFE,458091,555807,323730,420959,-97716,134361,37132
2018-06-19,SHFE,628331,756998,461217,546368,-128667,167114,81963
2018-06-20,SHFE,415347,568871,331561,367791,-153524,83786,47556
2018-06-21,SHFE,451350,560294,330364,411164,-108944,120986,40186
2018-06-22,SHFE,481082,640711,327382,452405,-159629,153700,28677
2018-06-25,SHFE,436738,626104,335281,449330,-189366,101457,-12592
2018-06-26,SHFE,467933,592779,354625,423030,-124846,113308,44903
2018-06-27,SHFE,425395,551183,309848,361859,-125788,115547,63536
2018-06-28,SHFE,563750,663497,411554,473807,-99747,152196,89943
