,datatypeid,instrumentid,partyid,productid,rank,shortname,tradingday,varvolume,volume,shortname_1,volume_1,varvolume_1,partyid_1,shortname_2,volume_2,varvolume_2,partyid_2
0,0,T1806,0018,T,1,中信期货,20180525,367,1406,国泰君安,2147,-98,0001,国泰君安,2079,-17,0001
1,0,T1806,0179,T,2,中融汇信,20180525,138,557,广发期货,814,3,0016,广发期货,813,-2,0016
2,0,T1806,0160,T,3,西部期货,20180525,-60,400,平安期货,332,-17,0105,天风期货,380,50,0309
3,0,T1806,0003,T,4,永安期货,20180525,247,355,天风期货,331,0,0309,永安期货,291,-202,0003
4,0,T1806,0129,T,5,国金期货,20180525,339,351,南华期货,300,1,0002,海通期货,276,-38,0133
5,0,T1806,0156,T,6,上海东证,20180525,93,215,海通期货,264,-16,0133,南华期货,271,-13,0002
6,0,T1806,0110,T,7,宝城期货,20180525,147,167,国金期货,99,-243,0129,中信期货,217,-243,0018
7,0,T1806,0001,T,8,国泰君安,20180525,-85,149,中信期货,83,-11,0018,国金期货,95,0,0129
8,0,T1806,0109,T,9,银河期货,20180525,-209,114,乾坤期货,80,0,0308,国信期货,87,-18,0113
9,0,T1806,0002,T,10,南华期货,20180525,54,104,光大期货,58,-1,0007,乾坤期货,80,0,0308
10,0,T1806,0173,T,11,大有期货,20180525,-320,104,五矿经易,57,0,0012,招商期货,68,1,0136
11,0,T1806,0182,T,12,华西期货,20180525,31,78,方正中期,54,-7,0167,兴证期货,65,3,0102
12,0,T1806,0193,T,13,迈科期货,20180525,62,78,美尔雅,42,2,0181,华安期货,63,9,0147
13,0,T1806,0019,T,14,金瑞期货,20180525,16,76,永安期货,40,-149,0003,渤海期货,59,0,0126
14,0,T1806,0133,T,15,海通期货,20180525,-241,74,宏源期货,36,11,0137,国投安信,36,0,0122
15,0,T1806,0102,T,16,兴证期货,20180525,-50,69,宝城期货,32,12,0110,北京首创,22,0,0112
16,0,T1806,0318,T,17,广州金控,20180525,42,69,国投安信,32,-2,0122,银河期货,18,3,0109
17,0,T1806,0005,T,18,一德期货,20180525,30,64,银河期货,30,3,0109,光大期货,17,0,0007
18,0,T1806,0121,T,19,中钢期货,20180525,53,60,东航期货,28,1,0153,申银万国,15,-1,0131
19,0,T1806,0177,T,20,大地期货,20180525,24,52,北京首创,21,-2,0112,东航期货,14,-6,0153
0,0,T1809,0133,T,1,海通期货,20180525,99,9311,中信期货,4496,958,0018,永安期货,4660,57,0003
1,0,T1809,0018,T,2,中信期货,20180525,1933,5350,国泰君安,3589,293,0001,中信期货,4343,436,0018
2,0,T1809,0001,T,3,国泰君安,20180525,514,4731,永安期货,3393,3,0003,国泰君安,3856,294,0001
3,0,T1809,0136,T,4,招商期货,20180525,525,3018,海通期货,2808,-28,0133,国海良时,3164,165,0178
4,0,T1809,0102,T,5,兴证期货,20180525,1578,2752,华泰期货,2044,17,0011,海通期货,2444,29,0133
5,0,T1809,0156,T,6,上海东证,20180525,598,2410,广发期货,1936,307,0016,国金期货,2393,257,0129
6,0,T1809,0160,T,7,西部期货,20180525,685,1991,银河期货,1728,480,0109,广发期货,2041,35,0016
7,0,T1809,0105,T,8,平安期货,20180525,99,1888,新湖期货,1675,36,0152,华安期货,1875,696,0147
8,0,T1809,0147,T,9,华安期货,20180525,672,1788,上海东证,1434,322,0156,和融期货,1827,351,0120
9,0,T1809,0187,T,10,徽商期货,20180525,491,1632,中粮期货,1213,-10,0010,宝城期货,1574,153,0110
10,0,T1809,0167,T,11,方正中期,20180525,367,1498,中金期货,1165,103,0172,格林大华,1513,-108,0106
11,0,T1809,0011,T,12,华泰期货,20180525,222,1488,华安期货,1051,-86,0147,上海东证,1121,62,0156
12,0,T1809,0009,T,13,浙商期货,20180525,660,1471,鲁证期货,1039,217,0006,银河期货,984,115,0109
13,0,T1809,0109,T,14,银河期货,20180525,43,1385,招商期货,1004,174,0136,浙商期货,848,636,0009
14,0,T1809,0006,T,15,鲁证期货,20180525,836,1378,申银万国,882,-14,0131,方正中期,796,-1,0167
15,0,T1809,0016,T,16,广发期货,20180525,-117,1344,国贸期货,854,-69,0108,宏源期货,762,-10,0137
16,0,T1809,0129,T,17,国金期货,20180525,52,1199,东航期货,836,74,0153,第一创业,706,55,0313
17,0,T1809,0131,T,18,申银万国,20180525,304,1192,国投安信,830,86,0122,国投安信,682,15,0122
18,0,T1809,0003,T,19,永安期货,20180525,156,1116,中国国际,800,-5,0159,光大期货,664,-143,0007
19,0,T1809,0179,T,20,中融汇信,20180525,210,1013,兴业期货,599,-14,0306,平安期货,598,324,0105
