,datatypeid,instrumentid,partyid,productid,rank,shortname,tradingday,varvolume,volume
0,0,T1806,0110,T,7,宝城期货,20180525,147,167
1,1,T1806,0110,T,16,宝城期货,20180525,12,32
2,2,T1809,0110,T,10,宝城期货,20180525,153,1574
3,1,T1806,0112,T,20,北京首创,20180525,-2,21
4,2,T1806,0112,T,16,北京首创,20180525,0,22
5,2,T1806,0126,T,14,渤海期货,20180525,0,59
6,0,T1806,0177,T,20,大地期货,20180525,24,52
7,0,T1806,0173,T,11,大有期货,20180525,-320,104
8,2,T1809,0313,T,17,第一创业,20180525,55,706
9,1,T1806,0153,T,19,东航期货,20180525,1,28
10,1,T1809,0153,T,17,东航期货,20180525,74,836
11,2,T1806,0153,T,20,东航期货,20180525,-6,14
12,0,T1809,0167,T,11,方正中期,20180525,367,1498
13,1,T1806,0167,T,12,方正中期,20180525,-7,54
14,2,T1809,0167,T,15,方正中期,20180525,-1,796
15,2,T1809,0106,T,11,格林大华,20180525,-108,1513
16,1,T1806,0007,T,10,光大期货,20180525,-1,58
17,2,T1809,0007,T,19,光大期货,20180525,-143,664
18,2,T1806,0007,T,18,光大期货,20180525,0,17
19,0,T1809,0016,T,16,广发期货,20180525,-117,1344
20,1,T1809,0016,T,6,广发期货,20180525,307,1936
21,1,T1806,0016,T,2,广发期货,20180525,3,814
22,2,T1809,0016,T,7,广发期货,20180525,35,2041
23,2,T1806,0016,T,2,广发期货,20180525,-2,813
24,0,T1806,0318,T,17,广州金控,20180525,42,69
25,2,T1809,0178,T,4,国海良时,20180525,165,3164
26,0,T1809,0129,T,17,国金期货,20180525,52,1199
27,0,T1806,0129,T,5,国金期货,20180525,339,351
28,1,T1806,0129,T,7,国金期货,20180525,-243,99
29,2,T1806,0129,T,8,国金期货,20180525,0,95
30,2,T1809,0129,T,6,国金期货,20180525,257,2393
31,1,T1809,0108,T,16,国贸期货,20180525,-69,854
32,0,T1809,0001,T,3,国泰君安,20180525,514,4731
33,0,T1806,0001,T,8,国泰君安,20180525,-85,149
34,1,T1806,0001,T,1,国泰君安,20180525,-98,2147
35,1,T1809,0001,T,2,国泰君安,20180525,293,3589
36,2,T1806,0001,T,1,国泰君安,20180525,-17,2079
37,2,T1809,0001,T,3,国泰君安,20180525,294,3856
38,1,T1806,0122,T,17,国投安信,20180525,-2,32
39,1,T1809,0122,T,18,国投安信,20180525,86,830
40,2,T1806,0122,T,15,国投安信,20180525,0,36
41,2,T1809,0122,T,18,国投安信,20180525,15,682
42,2,T1806,0113,T,9,国信期货,20180525,-18,87
43,0,T1806,0133,T,15,海通期货,20180525,-241,74
44,0,T1809,0133,T,1,海通期货,20180525,99,9311
45,1,T1809,0133,T,4,海通期货,20180525,-28,2808
46,1,T1806,0133,T,6,海通期货,20180525,-16,264
47,2,T1806,0133,T,5,海通期货,20180525,-38,276
48,2,T1809,0133,T,5,海通期货,20180525,29,2444
49,2,T1809,0120,T,9,和融期货,20180525,351,1827
50,1,T1806,0137,T,15,宏源期货,20180525,11,36
51,2,T1809,0137,T,16,宏源期货,20180525,-10,762
52,0,T1809,0147,T,9,华安期货,20180525,672,1788
53,1,T1809,0147,T,12,华安期货,20180525,-86,1051
54,2,T1806,0147,T,13,华安期货,20180525,9,63
55,2,T1809,0147,T,8,华安期货,20180525,696,1875
56,0,T1809,0011,T,12,华泰期货,20180525,222,1488
57,1,T1809,0011,T,5,华泰期货,20180525,17,2044
58,0,T1806,0182,T,12,华西期货,20180525,31,78
59,0,T1809,0187,T,10,徽商期货,20180525,491,1632
60,0,T1806,0019,T,14,金瑞期货,20180525,16,76
61,0,T1809,0006,T,15,鲁证期货,20180525,836,1378
62,1,T1809,0006,T,13,鲁证期货,20180525,217,1039
63,0,T1806,0193,T,13,迈科期货,20180525,62,78
64,1,T1806,0181,T,13,美尔雅,20180525,2,42
65,0,T1806,0002,T,10,南华期货,20180525,54,104
66,1,T1806,0002,T,5,南华期货,20180525,1,300
67,2,T1806,0002,T,6,南华期货,20180525,-13,271
68,0,T1809,0105,T,8,平安期货,20180525,99,1888
69,1,T1806,0105,T,3,平安期货,20180525,-17,332
70,2,T1809,0105,T,20,平安期货,20180525,324,598
71,1,T1806,0308,T,9,乾坤期货,20180525,0,80
72,2,T1806,0308,T,10,乾坤期货,20180525,0,80
73,0,T1809,0156,T,6,上海东证,20180525,598,2410
74,0,T1806,0156,T,6,上海东证,20180525,93,215
75,1,T1809,0156,T,9,上海东证,20180525,322,1434
76,2,T1809,0156,T,12,上海东证,20180525,62,1121
77,0,T1809,0131,T,18,申银万国,20180525,304,1192
78,1,T1809,0131,T,15,申银万国,20180525,-14,882
79,2,T1806,0131,T,19,申银万国,20180525,-1,15
80,1,T1806,0309,T,4,天风期货,20180525,0,331
81,2,T1806,0309,T,3,天风期货,20180525,50,380
82,1,T1806,0012,T,11,五矿经易,20180525,0,57
83,0,T1806,0160,T,3,西部期货,20180525,-60,400
84,0,T1809,0160,T,7,西部期货,20180525,685,1991
85,1,T1809,0152,T,8,新湖期货,20180525,36,1675
86,1,T1809,0306,T,20,兴业期货,20180525,-14,599
87,0,T1809,0102,T,5,兴证期货,20180525,1578,2752
88,0,T1806,0102,T,16,兴证期货,20180525,-50,69
89,2,T1806,0102,T,12,兴证期货,20180525,3,65
90,0,T1806,0005,T,18,一德期货,20180525,30,64
91,0,T1809,0109,T,14,银河期货,20180525,43,1385
92,0,T1806,0109,T,9,银河期货,20180525,-209,114
93,1,T1809,0109,T,7,银河期货,20180525,480,1728
94,1,T1806,0109,T,18,银河期货,20180525,3,30
95,2,T1806,0109,T,17,银河期货,20180525,3,18
96,2,T1809,0109,T,13,银河期货,20180525,115,984
97,0,T1806,0003,T,4,永安期货,20180525,247,355
98,0,T1809,0003,T,19,永安期货,20180525,156,1116
99,1,T1809,0003,T,3,永安期货,20180525,3,3393
100,1,T1806,0003,T,14,永安期货,20180525,-149,40
101,2,T1809,0003,T,1,永安期货,20180525,57,4660
102,2,T1806,0003,T,4,永安期货,20180525,-202,291
103,0,T1809,0136,T,4,招商期货,20180525,525,3018
104,1,T1809,0136,T,14,招商期货,20180525,174,1004
105,2,T1806,0136,T,11,招商期货,20180525,1,68
106,0,T1809,0009,T,13,浙商期货,20180525,660,1471
107,2,T1809,0009,T,14,浙商期货,20180525,636,848
108,0,T1806,0121,T,19,中钢期货,20180525,53,60
